country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Greece,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.09,0.11,0.11,0.11,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.07,0.07,0.07,0.07,0.09,0.08,0.1,0.1,0.11,0.14,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.22,0.21,0.18,0.17,0.15,,0.12,0.08,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Guatemala,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.05,0.09,0.08,0.12,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.13,0.19,0.17,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.1,0.1,0.13,0.15,0.19,0.19,0.17,0.17,0.18,0.18,0.15,,,0.12,0.16,0.16,0.16,0.16,0.22,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.42,0.46,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Guyana,,,,,,,,,,,,,,,,,,,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.11,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.35,0.3,0.33,0.24,0.17,0.2,0.17,0.12,0.11,0.11,0.13,0.12,0.09,0.06,0.06,0.06,0.06,0.07
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,0.16,0.16,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.28,0.3,0.26,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.11,0.11,0.14,0.17,0.22,0.22,0.21,0.22,0.25,0.28,0.23,0.21,0.17,0.15,0.11,0.1,0.09,0.13,0.1,0.06,0.08
Iceland,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.14,0.17,0.26,0.28,0.28,0.28,0.22,0.17,0.3,0.21,0.49,0.24,0.38,0.21,0.21,0.17,,0.05,0.06,0.06,0.07,0.09,0.1,0.12,0.12,0.08,0.08,0.1,0.12,0.15
India,,,,,,,,,,,,,,,,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,0.14,0.09,0.12,0.14,0.13,0.2,0.38,0.13,0.15,0.18,0.13,0.08,0.07,0.13,0.1
Iran,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.05,0.05,0.07,0.08,0.08,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.1,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,
Ireland,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.05,0.06,0.04,0.04,0.05,0.06,0.04,0.04,0.07,0.06,0.07,0.08,0.07,0.08,0.07,0.05,0.08,0.13,0.12,0.1,0.15,0.07,0.12,0.17,0.14,0.17,0.14,0.12,0.14,0.1,0.13,0.09,0.08,0.12,0.11,0.11,,0.07,0.06,0.07,0.06,0.07,0.04,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,3.11,6.9,0.8,0.31,0.27,0.31,0.15,0.13,0.14,0.1,0.1,0.17,0.14,0.15,0.14,0.13,0.11,0.08,0.06,0.09,0.05,0.04,0.04,
Italy,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.04,0.07,0.08,0.06,0.15,0.12,0.11,0.15,0.17,0.19,0.18,0.17,0.17,0.15,0.12,0.12,0.13,0.14,0.13,0.12,0.12,0.08,0.08,0.09,0.08,0.06,0.03,,,,,,,,
Jamaica,,,,,,,,,,,,,,0.06,0.06,0.04,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.07,0.09,0.08,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.16,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,,,,,
Japan,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.04,0.09,0.09,0.07,0.07,0.04,0.04,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
Jordan,,,,,,,,,,,,,,,,,,,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.05,0.05,0.03,0.04,0.07,0.08
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.3,0.53,0.35,0.19,0.25,0.18,0.14,0.09,0.08,0.07,0.07,0.08,0.09
Kenya,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.13,0.15,0.15,0.13,0.13,0.13,0.13,0.16,0.17,0.19,0.2,0.2,0.46,0.22,0.25,0.27,0.32,0.17,0.26,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,,0.08,0.08,0.06,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.04,0.03,0.03,0.05,0.06,0.06
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.25,0.3,0.32,0.35,,0.35,0.35,0.35,0.35,0.2,0.2,0.2,0.2,0.2
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.25,0.24,0.1,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05
Lebanon,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.07,0.07,0.06,0.06,0.06,0.09,0.1,0.13,0.12,0.12,0.12,0.2,0.22,0.22,0.22,0.22,0.22,0.18,0.16,0.2,0.16,0.19,0.25,0.3,0.3,0.25,0.2,0.2,0.2,0.2,0.2,0.12,0.12
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.12,0.12,0.12,0.15,0.12,0.1,0.09,0.16,0.17,0.16,0.18,0.15,0.14,0.14,0.16,0.17,0.16,0.2,0.19,0.15,0.13,0.16,0.15,0.13,0.13,0.11
